@relation TestSet

@attribute meanXAcc real
@attribute meanYAcc real
@attribute meanZAcc real
@attribute stdX real
@attribute stdY real
@attribute stdZ real
@attribute avgAcc real
@attribute binX1 real
@attribute binX2 real
@attribute binX3 real
@attribute binX4 real
@attribute binX5 real
@attribute binX6 real
@attribute binX7 real
@attribute binX8 real
@attribute binX9 real
@attribute binX10 real
@attribute binY1 real
@attribute binY2 real
@attribute binY3 real
@attribute binY4 real
@attribute binY5 real
@attribute binY6 real
@attribute binY7 real
@attribute binY8 real
@attribute binY9 real
@attribute binY10 real
@attribute binZ1 real
@attribute binZ2 real
@attribute binZ3 real
@attribute binZ4 real
@attribute binZ5 real
@attribute binZ6 real
@attribute binZ7 real
@attribute binZ8 real
@attribute binZ9 real
@attribute binZ10 real
@attribute peakDistX real
@attribute peakDistY real
@attribute peakDistZ real
@attribute activity {1,2,3,4}


@data
2.5312,3.1939,2.8621,2.3245,2.5584,2.9915,5.6305,0.01,0.034,0.186,0.371,0.246,0.084,0.037,0.018,0.011,0.003,0.025,0.023,0.03,0.089,0.229,0.239,0.182,0.17,0.011,0.002,0.017,0.011,0.013,0.051,0.103,0.339,0.334,0.105,0.01,0.017,507.37,320.39,334.12,1
3.8343,5.883,3.3927,3.7349,4.9838,3.0336,8.8277,0.004,0.004,0.016,0.032,0.116,0.408,0.282,0.094,0.034,0.01,0.01,0.02,0.046,0.142,0.182,0.338,0.156,0.07,0.02,0.016,0.002,0.002,0.012,0.046,0.288,0.388,0.192,0.056,0.008,0.006,407.04,403.71,406.21,3
3.706,6.7297,3.568,3.2652,5.0993,3.3259,9.5356,0.008,0.008,0.04,0.096,0.294,0.286,0.146,0.08,0.028,0.014,0.032,0.032,0.14,0.15,0.242,0.24,0.12,0.034,0.002,0.008,0.002,0.004,0.01,0.03,0.144,0.376,0.314,0.07,0.04,0.01,443.15,413.86,302.16,3
4.913,6.9637,4.6818,3.81,3.3482,4.5259,11.139,0.02,0.025,0.049,0.069,0.164,0.222,0.18,0.142,0.096,0.033,0.078,0.085,0.14,0.104,0.074,0.064,0.099,0.191,0.142,0.023,0.036,0.023,0.011,0.035,0.129,0.275,0.316,0.116,0.048,0.011,645.67,424.19,346.32,2
1.3975,2.2286,2.2992,1.2861,2.0483,1.9624,3.9588,0.018,0.034,0.162,0.368,0.266,0.104,0.028,0.014,0.004,0.002,0.038,0.072,0.198,0.412,0.176,0.08,0.018,0.004,0,0.002,0.01,0.066,0.22,0.414,0.176,0.096,0.012,0.004,0,0.002,454.79,529.33,527.5,3
5.7393,7.2656,4.9285,4.2283,3.8243,4.7104,11.888,0.027,0.034,0.057,0.08,0.146,0.215,0.146,0.142,0.108,0.045,0.025,0.111,0.141,0.117,0.114,0.087,0.104,0.203,0.081,0.017,0.02,0.04,0.017,0.028,0.077,0.259,0.295,0.18,0.054,0.03,387.31,483.8,425.55,2
2.4193,3.6146,3.2075,2.0821,3.2101,3.3141,6.1616,0.006,0.028,0.076,0.272,0.292,0.16,0.082,0.052,0.022,0.01,0.032,0.19,0.308,0.262,0.1,0.064,0.026,0.008,0.002,0.008,0.012,0.042,0.182,0.488,0.208,0.044,0.018,0.002,0,0.004,353.21,420.39,353.96,3
3.4831,6.4695,3.2844,3.1914,5.1974,3.2691,8.9945,0.01,0.008,0.028,0.108,0.302,0.3,0.152,0.058,0.028,0.006,0.02,0.042,0.09,0.162,0.202,0.256,0.126,0.066,0.022,0.014,0.002,0,0.004,0.002,0.1,0.504,0.29,0.086,0.01,0.002,572.29,420.14,388.36,3
3.6135,5.5214,3.2347,3.6672,4.5705,2.9536,8.2802,0.002,0.002,0.012,0.02,0.05,0.282,0.426,0.144,0.048,0.014,0.008,0.03,0.038,0.134,0.148,0.342,0.192,0.068,0.028,0.012,0.002,0,0.004,0.008,0.102,0.366,0.372,0.108,0.03,0.008,405.59,458.52,352.12,3
2.0413,3.4085,2.5842,1.7486,3.0037,2.7269,5.358,0.005,0.052,0.232,0.366,0.231,0.08,0.019,0.008,0.005,0.002,0.008,0.1,0.104,0.15,0.293,0.21,0.057,0.025,0.027,0.026,0.004,0.016,0.017,0.033,0.146,0.342,0.305,0.051,0.064,0.022,435,439.67,418.36,1
2.3708,3.8637,3.9255,2.2756,3.4357,3.8705,6.7898,0.012,0.136,0.374,0.332,0.092,0.036,0.01,0.004,0.002,0.002,0.072,0.248,0.278,0.208,0.086,0.052,0.024,0.014,0.008,0.01,0.008,0.05,0.206,0.462,0.206,0.038,0.022,0.004,0.002,0.002,396.74,412.96,352.5,3
